nmi,batteryCapacityKWh,batteryMaxPowerKW
70010238906,10.1,5
70013276069,10.3,5
70010725422,10.1,5
70010977881,10.3,5
70011561331,10.3,5
70011234192,26.6,5
70010906306,10.1,5
70010368001,5.8,5
7001091338,10.1,5
70010035031,10.3,5
70011511725,10.1,5
70011711647,9.6,4.6
70013321898,14,5
70010031057,13.5,5
70013509294,0,2.8672
70013312500,9.6,5
70010689208,10.3,5
70010754002,10.1,5
70013253289,10.1,5
70010970524,10.1,5
70010901101,10.3,5
70010290800,10.1,5
70011490564,10.1,5
70010563971,10.1,5
70011887313,10.1,5
70011659563,10.1,5
70010402116,10.1,5
7001052589,10.3,5
70010417816,13.5,5
7001155208,13.5,5
7001052980,13.5,5
70012007053,13.5,5
70010063157,13.5,5
70010645332,14,5
70010397611,10.1,5
70010235737,10.1,5
70010919613,10.1,5
70010665661,10.3,5
7001350051,0,2.8672
7001350025,0,2.8672
70013497417,0,2.8672
7001346643,0,2.8672
7001350562,0,2.8672
70013467311,0,2.8672
7001349812,0,2.8672
70011062132,10,5
70010680760,9.8,5
7001350102,0,2.8672
70011109438,10,2.8672
7001350022,0,2.8672
70013444771,10.3,5
70010441163,10.1,5
70013442768,0,2.8672
70011013418,10.1,5
70010845220,10.3,5
70011109802,14,5
70011791078,28,5
70013294913,10.1,5
7001349686,0,2.8672
7001350094,10,5
70013426952,0,2.8672
70013468086,10.1,5
70010285147,13.5,5
7001035130,13.5,5
70010235555,10,2.8672
70010670638,13.5,5
70010517234,10,2.8672
70010882703,10,2.8672
70011835584,10,2.8672
70013468549,0,2.8672
7001350056,0,2.8672
7001350573,0,2.8672
70010092353,10,5
7001039692,10,5
70010912897,10,5
70011089409,10,5
70010442358,10,5
70010879187,10,2.8672
70013411690,10,5
70010616425,10,5
70013309091,10.1,5
70013437413,10.1,5
70011048651,10.1,5
70011887246,10.1,5
70011756410,15,5
70010553394,10.1,5
70010446617,10.1,5
70010427953,10.1,2.8672
7001040551,10.1,5
70010587749,10.1,5
70010912063,10.1,5
70010756724,13.5,5
7001056673,13.5,5
70010641233,13.5,5
7001350545,0,2.8672
70011482759,13.5,5
70013333479,13.5,5
70010282878,13.5,5
70010388668,13.5,5
7001001311,13.5,5
7001066155,13.5,5
70011610972,13.5,5
7001350963,0,2.8672
70010258706,13.5,5
70010428646 ,9.6,5
70010464526,13.5,5
70010599209,10,5
70010599470,15,5
70011072157,10,5
70010187384,10,5
70010771740,10,5
70010799658,10,5
70011617415,10,5
7001349766,0,2.8672
70011395366,10,5
7001344524,13.5,5
70011567872,13.5,5
7001338870,13.5,5
70010248029,13.5,5
70013141119,10,5
70013501582,0,2.8672
7001351231,0,2.8672
70013145811,9.6,5
7001350894,10,5
70013494959,0,2.8672
7001349844,0,2.8672
70013163028,13.3,5
70013279105,14.2,5
70010304343,14.2,5
70010844644,13.5,5
70011112242,13.5,5
7001052622,14.2,5
70010814481,14.2,5
70011932761,13.5,5
70011964368,13.5,5
70010291640,14.2,5
70013279203,13.5,5
70010024613,14.2,5
70011694940,13.5,5
7001094272,13.5,5
70010517432,14.2,5
70011556364,14.2,5
70010087098,14.2,5
70010839941,14.2,5
70010835504,14.2,5
70010876530,14.2,5
70010906966,14.2,5
70013266192,14.2,5
7001010751,13.5,5
70011953965,14.2,5
7001343887,14.2,5
70010967544,13.5,5
70011845492,14.2,5
70010573848,13.5,5
70010815266,14.2,5
70013312368,13,5
70013258296,13.5,5
70011409380,10.3,5
70011939964,10.1,5
70010849207,10.3,5
70010389369,13.3,5
70010847647,10.1,5
70011981348,10.3,5
70010787421,10.3,5
70013174578,10.1,5
70010055864,10.3,5
70013188264,10.3,5
70010448396,10.3,5
70012505377,10.1,5
7001150319,10.1,5
70011986040,10.1,5
70010985357,10.3,5
70010423300,10.1,5
70011102153,13.3,5
70011554540,10.1,5
70010360207 ,10.1,5
70013010791,13.3,5
7001349505,0,2.8672
70010793924,10,5
70010904127,10,5
70013322052,10,5
7001315178,9.6,5
7001350037,0,2.8672
70010495266,10,5
70013495287,13.5,5
70010470179,13.5,5
70011014422,14.2,5
70011616185,14.2,5
70011541177,14.2,5
70011003087,14.2,5
70010856657,10,5
70013362338,10,5
70013509253,10,5
70010571126,10,5
70013015304,13,5
70010703066,10,5
70013003266,13,5
70011868741,13.5,5
70010492511,13.5,5
70012014297,13,5
70013438163,10,5
70010525880,10,2.8672
70010876044,10,2.8672
70011640671,13.3,5
70010017154,10.1,5
70010030834,10.1,5
70010014977,10.1,5
70010861816,10.3,5
7001346805,13.5,5
70013363139,13.5,5
70010017856,10,2.8672
70011985983,10.1,5
70013164447,10.3,5
70010365766,10,5
70011483947,13.5,5
70010827383,13.5,5
70010565201,13.5,5
70010060502,10.1,5
70011038628,13.5,5
70011060717,10.1,5
70010945369,10.3,5
70010065631,10.1,5
70011933660,10.1,5
70011504793,10.1,5
70011736164,10.1,5
70010945179,10.1,2.8672
70010607813,10,2.8672
70010255406,10,5
70011778882,10.3,5
70013131794,10,5
70013335632,16,2.8672
70013515211,0,2.8672
70010119505,14.2,5
70010543611,14.2,5
70010020298,14.2,5
70011699329,13.5,5
70011696227,13.5,5
70011007327,13.5,5
70011847761,13.5,5
70013209259,13.5,5
70010638502,14.2,5
7001328002,14.2,5
70011109586,13.5,5
70010373842,13.5,5
7001080334,14,5
70011604131,13.5,5
70010553668,10.5,4.6
70010619428,10,5
70011418267,10,5
70011080185,14.2,5
70010373487,13.5,5
70010965565,14.2,5
70013117685,13.5,5
70011461275,14.2,5
70010405175,10,5
70010687913,0,5
70011416832,10,5
70013140853,10,5
70010512227,10,5
7001352098,0,2.8672
70010817377,10,5
70011930428,10,5
70013505402,10,5
70013520609,0,2.8672
70013226964,10,5
70011811926,10,5
70010387553,10.7,4.6
70011110685,11.9,4.6
70010912525,14.2,4.6
7001169517,14.2,4.6
70010580004,7.1,4.6
70013350723,9.5,4.6
70010574250,9.5,4.6
70011861518,14.2,4.6
70011767654,13.3,5
70010921065,10.1,5
70010443174,10.1,5
70012003201,10.1,5
7001346810,10.1,5
70011397642,13.3,5
70011509245,10.1,5
70011774642,10.1,5
70013494875,10.1,5
70010189679,10.3,5
70011561281,10.3,5
70011583689,10.1,5
70013509550,10.1,5
70013444129,13.3,5
70011736206,10.1,5
70011425832,13.3,5
70010597269,10.1,5
70011998762,10.1,5
70010142892,10.1,5
70011710433,10.3,5
7001332964,10.1,5
70011012996,10.3,5
70013434533,10.1,5
70013345310,13.3,5
70010544385,10.3,5
70013514625,0,5
70010764743,10,5
70010390772,10,5
70010320036,10,5
70010935799,10,5
70010140575,13.5,5
70010770198,13.5,5
70013317796,13.3,5
70011940030,13.5,5
70013505988,0,2.8672
7001352103,0,2.8672
70013505970,0,2.8672
7001350596,0,2.8672
70013505939,0,2.8672
7001351475,0,2.8672
70013505955,0,2.8672
7001350581,0,2.8672
70013500741,0,2.8672
70010776500,10.1,5
70010736081,14.2,4.6
70010376905,10,5
70010898816,10,5
7001351098,10,2.8672
70013514601,0,2.5
7001042046,13.5,5
70010726693,13.5,5
70013367923,13.5,5
70010173376,13.5,5
7001156788,13.5,5
70011061301,13.5,5
7001081271,13.5,5
70011985694,10,5
70010631953,10,5
70010794724,10,5
70010533118,10,5
70010689289,10,5
70010956530,10,5
70010759875,10,5
70013520441,0,2.8672
70010658145,10,5
70010730143,10,5
70012505312,10,5
70010971508,10,5
70010017114,10,5
70013302138,10,5
70011978748,10,5
7001344613,10.1,5
70011051474,10.1,5
70011855856,10.1,5
70010929165,13.3,5
70010513472,10.1,5
70010661934,13.3,5
70010753607,10.1,5
70011765849,10.1,5
70010713824,10.1,5
70010829876,10,5
70013351086,10.1,5
70010647881,13.3,5
70010839132,13.5,5
7001026964,13.5,5
7001094644,13.5,5
70011469764,13.5,5
70010518200,13.5,5
7001074372,13.5,5
7001330760,13.5,5
70010877868,15,5
70011744488,10,5
70013248495,10,5
70013385439,10,5
70011898310,0,2.8672
7001345029,0,2.8672
70010204527,10,5
70010548206,10,5
70010746460,10,5
70010497451,10,5
70010837234,10,5
70013162995,10,5
70010100134,0,2.8672
70013511038,0,5
70011916393,10,2.8672
70010432234,10,2.8672
70011518257,10,2.8672
70010526383,10,2.8672
70010787119,10,2.8672
70011902590,10,2.8672
70011554251,15,2.8672
70011049427,10.3,5
70011753191,10.3,5
70010976348,10.3,5
70010929354,13.3,5
70010791269,10.3,5
70013515095,14.5,2.8672
70010911792,10.3,5
70010844454,13.3,5
70010452102,10.3,5
70011536373,13.3,5
70010139809,10.3,5
70010722691,10.3,5
70010620427,10.3,5
70010551648,10.3,5
70010595727,10.3,5
70011437745,10.3,5
70010816132,13.3,5
70013135110,10.3,5
70013258387,13.3,5
70011866813,13.3,5
70010815191,10.3,5
70013266647,13.3,5
70010618090,10.3,5
70010467826,10.3,5
70013503001,9.6,2.8672
70010745553,13.5,5
7001080557,13.5,5
70011594280,13.5,5
70013457823,13.5,5
7001006213,27,5
7001055562,13.5,5
70013404660,13.5,5
7001011671,13.5,5
70013420286,13.5,5
7001142679,13.5,5
70013211231,13.5,5
70013245956,13.5,5
70011887130,13.5,5
70010453636,13.5,5
70013345490,13.5,5
70013524797,0,2.8672
7001195073,10.1,5
7001104378,10.1,5
7001194091,10.1,5
70010795946,10.3,5
70013211356,10.1,5
70011700955,10.1,5
7001317046,10.1,5
70011449071,10.3,5
7001352232,10.1,5
70010796135,10.1,5
7001101300,13.5,5
70013214597,13.5,5
70010885622,15,5
70010994184,10,5
70011760040,10,5
70010754463,10,5
70011695435,10,5
70010767639,10,5
