switch_mrid,name,type,is_tie,tie_class,tie_type,tie_type_label,container_count,container_ids,normal_container_ids,current_container_ids,lv_parent_container_ids,mv_container_count,mv_container_ids,lv_circuit_count,lv_circuit_ids,normal_lv_circuit_ids,current_lv_circuit_ids,observed_container_ids,observed_container_count,terminal_count,is_open,is_normally_open,include_lv_mode,scope_mode,scope_label,generated_at_utc
176222503,176222503,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SVW41|SVW56,SVW41|SVW56,SVW41|SVW56,,2,SVW41|SVW56,0,,,,SVW41|SVW56,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
178346249,178346249,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DVY31|DVY34,DVY31|DVY34,DVY31|DVY34,,2,DVY31|DVY34,0,,,,DVY31|DVY34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
178395635,178395635,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MTN21|MTN35,MTN21|MTN35,MTN21|MTN35,,2,MTN21|MTN35,0,,,,MTN21|MTN35,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
178866693,178866693,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NW13|NW23,NW13|NW23,NW13|NW23,,2,NW13|NW23,0,,,,NW13|NW23,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
179090601,179090601,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,FSH31|FSH33,FSH31|FSH33,FSH31|FSH33,,2,FSH31|FSH33,0,,,,FSH31|FSH33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
179090639,179090639,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,FSH13|FSH33,FSH13|FSH33,FSH13|FSH33,,2,FSH13|FSH33,0,,,,FSH13|FSH33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
179090670,179090670,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,FSH12|FSH13,FSH12|FSH13,FSH12|FSH13,,2,FSH12|FSH13,0,,,,FSH12|FSH13,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
179090708,179090708,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CRM24|FTN12,CRM24|FTN12,CRM24|FTN12,,2,CRM24|FTN12,0,,,,CRM24|FTN12,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
181092537,181092537,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EB22|GW3,EB22|GW3,EB22|GW3,,2,EB22|GW3,0,,,,EB22|GW3,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
181094139,181094139,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH34|EB33,BH34|EB33,BH34|EB33,,2,BH34|EB33,0,,,,BH34|EB33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
181094331,181094331,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MC31|NP34,MC31|NP34,MC31|NP34,,2,MC31|NP34,0,,,,MC31|NP34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
181524675,181524675,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,M23|M31,M23|M31,M23|M31,,2,M23|M31,0,,,,M23|M31,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
182229274,182229274,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MC32|SS23,MC32|SS23,MC32|SS23,,2,MC32|SS23,0,,,,MC32|SS23,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
188138213,188138213,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC6|DC7,DC6|DC7,DC6|DC7,,2,DC6|DC7,0,,,,DC6|DC7,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
188138232,188138232,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH12|DC8,BH12|DC8,BH12|DC8,,2,BH12|DC8,0,,,,BH12|DC8,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
188141378,188141378,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC3|NW13,DC3|NW13,DC3|NW13,,2,DC3|NW13,0,,,,DC3|NW13,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
188820642,188820642,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,LD32|NP16,LD32|NP16,LD32|NP16,,2,LD32|NP16,0,,,,LD32|NP16,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
190266614,190266614,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SV34|SVW54,SV34|SVW54,SV34|SVW54,,2,SV34|SVW54,0,,,,SV34|SVW54,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
190275720,190275720,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SV20|SV33,SV20|SV33,SV20|SV33,,2,SV20|SV33,0,,,,SV20|SV33,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
191976278,191976278,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CRM35|MC15,CRM35|MC15,CRM35|MC15,,2,CRM35|MC15,0,,,,CRM35|MC15,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
193178703,193178703,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OE13|OR35,OE13|OR35,OE13|OR35,,2,OE13|OR35,0,,,,OE13|OR35,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
193178743,193178743,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OAK34|OE13,OAK34|OE13,OAK34|OE13,,2,OAK34|OE13,0,,,,OAK34|OE13,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
193178770,193178770,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OE13|OE4,OE13|OE4,OE13|OE4,,2,OE13|OE4,0,,,,OE13|OE4,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
193180380,193180380,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC5|DC8,DC5|DC8,DC5|DC8,,2,DC5|DC8,0,,,,DC5|DC8,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
193921655,193921655,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CDA21|CDA22,CDA21|CDA22,CDA21|CDA22,,2,CDA21|CDA22,0,,,,CDA21|CDA22,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
194147500,194147500,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HGS22|HGS23,HGS22|HGS23,HGS22|HGS23,,2,HGS22|HGS23,0,,,,HGS22|HGS23,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
194585160,194585160,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,GW10|GW3,GW10|GW3,GW10|GW3,,2,GW10|GW3,0,,,,GW10|GW3,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
194585264,194585264,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BU14|BU15,BU14|BU15,BU14|BU15,,2,BU14|BU15,0,,,,BU14|BU15,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
194585910,194585910,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CM13|CM24,CM13|CM24,CM13|CM24,,2,CM13|CM24,0,,,,CM13|CM24,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
194585967,194585967,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DN7|LD7,DN7|LD7,DN7|LD7,,2,DN7|LD7,0,,,,DN7|LD7,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
196590214,196590214,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT15|CFD13,BT15|CFD13,BT15|CFD13,,2,BT15|CFD13,0,,,,BT15|CFD13,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
197225569,197225569,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EL31|NB32,EL31|NB32,EL31|NB32,,2,EL31|NB32,0,,,,EL31|NB32,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
197670711,197670711,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DN21|DN4,DN21|DN4,DN21|DN4,,2,DN21|DN4,0,,,,DN21|DN4,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
198078069,198078069,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DC10|NW13,DC10|NW13,DC10|NW13,,2,DC10|NW13,0,,,,DC10|NW13,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
198584236,198584236,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DN22|LYD14,DN22|LYD14,DN22|LYD14,,2,DN22|LYD14,0,,,,DN22|LYD14,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
201542302,201542302,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MC31|MC34,MC31|MC34,MC31|MC34,,2,MC31|MC34,0,,,,MC31|MC34,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
201994950,201994950,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CRM24|FTN12,CRM24|FTN12,CRM24|FTN12,,2,CRM24|FTN12,0,,,,CRM24|FTN12,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
201995056,201995056,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CFD13|CFD14,CFD13|CFD14,CFD13|CFD14,,2,CFD13|CFD14,0,,,,CFD13|CFD14,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
