switch_mrid,name,type,is_tie,tie_class,tie_type,tie_type_label,container_count,container_ids,normal_container_ids,current_container_ids,lv_parent_container_ids,mv_container_count,mv_container_ids,lv_circuit_count,lv_circuit_ids,normal_lv_circuit_ids,current_lv_circuit_ids,observed_container_ids,observed_container_count,terminal_count,is_open,is_normally_open,include_lv_mode,scope_mode,scope_label,generated_at_utc
95214604,LV ISOL PO-7033516 OS 37 LUCKNOW STREET,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT24,,,,0,,0,,,,RWT12|RWT24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95214720,LV ISOL PO-7033614 OS 68 CREEK ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT12|RWT24,,,,0,,0,,,,RWT12|RWT24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95214833,LV ISOL PO-7022280 IN LOMBARD RD OS 12 TOOMEY ST,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT34|RWT35,,,,0,,0,,,,RWT34|RWT35,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95215130,LV ISOL PO-0639555 OS 608 CANTERBURY ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT24|RWT34,,,,0,,0,,,,RWT24|RWT34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95215148,LV BRIDGE PO-7039565 OS UNIT 1 435 CANTERBURY ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RWT24|RWT34,,,,0,,0,,,,RWT24|RWT34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95232438,95232438,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EW1|EW8,EW1|EW8,EW1|EW8,,2,EW1|EW8,0,,,,EW1|EW8,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95232600,95232600,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EL34|EW8,EL34|EW8,EL34|EW8,,2,EL34|EW8,0,,,,EL34|EW8,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95233809,95233809,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BW34|OAK21,BW34|OAK21,BW34|OAK21,,2,BW34|OAK21,0,,,,BW34|OAK21,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95233850,95233850,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OAK21|OAK23,OAK21|OAK23,OAK21|OAK23,,2,OAK21|OAK23,0,,,,OAK21|OAK23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95233926,95233926,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM11|EM7,EM11|EM7,EM11|EM7,,2,EM11|EM7,0,,,,EM11|EM7,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95233984,95233984,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BW21|EM5,BW21|EM5,BW21|EM5,,2,BW21|EM5,0,,,,BW21|EM5,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95233995,95233995,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM5|EM7,EM5|EM7,EM5|EM7,,2,EM5|EM7,0,,,,EM5|EM7,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95234161,95234161,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM5|EM8,EM5|EM8,EM5|EM8,,2,EM5|EM8,0,,,,EM5|EM8,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95240999,95240999,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,AR12|K35,AR12|K35,AR12|K35,,2,AR12|K35,0,,,,AR12|K35,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95245349,95245349,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BW21|RD10,BW21|RD10,BW21|RD10,,2,BW21|RD10,0,,,,BW21|RD10,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95245398,95245398,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,RD10|RD4,RD10|RD4,RD10|RD4,,2,RD10|RD4,0,,,,RD10|RD4,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95246083,95246083,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM11|EM2,EM11|EM2,EM11|EM2,,2,EM11|EM2,0,,,,EM11|EM2,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95246267,95246267,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM10|EM9,EM10|EM9,EM10|EM9,,2,EM10|EM9,0,,,,EM10|EM9,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95246305,95246305,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM1|EM3,EM1|EM3,EM1|EM3,,2,EM1|EM3,0,,,,EM1|EM3,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95246320,95246320,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EM10|EM9,EM10|EM9,EM10|EM9,,2,EM10|EM9,0,,,,EM10|EM9,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95246696,95246696,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EL25|EL32,EL25|EL32,EL25|EL32,,2,EL25|EL32,0,,,,EL25|EL32,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
95248402,95248402,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,AR2|CFD16,AR2|CFD16,AR2|CFD16,,2,AR2|CFD16,0,,,,AR2|CFD16,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
